sp,lon,lat
Araucaria.sp,-51.7517,-25.5969
Araucaria.sp,-49.855,-24.5178
Araucaria.sp,-49.0481,-25.4686
Araucaria.sp,-51.7061,-27.405
Araucaria.sp,-51.8369,-24.7708
Araucaria.sp,-46.5564,-21.7725
Araucaria.sp,-50.0325,-25.2206
Araucaria.sp,-50.2336,-27.3611
Araucaria.sp,-52.0169,-26.82
Araucaria.sp,-51.0614,-26.27
Araucaria.sp,-51.2853,-25.075
Araucaria.sp,-52.74,-26.73
Araucaria.sp,-49.8619,-28.1692
Araucaria.sp,-49.5033,-25.8911
Araucaria.sp,-49.1497,-27.6281
Araucaria.sp,-50.5561,-25.6678
Araucaria.sp,-52.7278,-25.4514
Araucaria.sp,-51.9911,-25.8511
Araucaria.sp,-49.3292,-25.1814
Araucaria.sp,-51.1628,-27.6333
Araucaria.sp,-50.6744,-28.9275
Araucaria.sp,-50.0375,-26.8186
Araucaria.sp,-49.5906,-26.4597
Araucaria.sp,-49.4575,-23.8781
Araucaria.sp,-52.1936,-24.5622
Araucaria.sp,-45.8311,-23.5686
Araucaria.sp,-51.3883,-26.9072
Araucaria.sp,-51.9308,-27.9183
Araucaria.sp,-50.3103,-27.0003
Araucaria.sp,-53.3425,-25.8789
Araucaria.sp,-46.3478,-22.0806
Araucaria.sp,-52.6353,-28.3811
Araucaria.sp,-49.2283,-26.2781
Araucaria.sp,-48.8719,-27.8983
Araucaria.sp,-52.5642,-26.4606
Araucaria.sp,-50.3917,-29.4208
Araucaria.sp,-50.4,-28.3503
Araucaria.sp,-50.2614,-25.6614
Araucaria.sp,-49.8589,-28.4381
Araucaria.sp,-50.7617,-27.4508
Araucaria.sp,-49.8183,-28.5497
Araucaria.sp,-49.2128,-25.6044
Araucaria.sp,-52.8408,-26.4636
Araucaria.sp,-50.3256,-25.8542
Araucaria.sp,-46.2494,-21.8017
Araucaria.sp,-49.4094,-28.0803
Araucaria.sp,-51.5089,-29.0897
Araucaria.sp,-52.8283,-27.9058
Araucaria.sp,-49.4867,-24.2508
Araucaria.sp,-51.1189,-26.7319
Araucaria.sp,-48.9997,-25.3856
Araucaria.sp,-44.1428,-21.0667
Araucaria.sp,-46.9681,-23.2675
Araucaria.sp,-44.7111,-22.1467
Araucaria.sp,-44.7722,-22.1272
Araucaria.sp,-49.7706,-27.54
Araucaria.sp,-43.89,-21.9689
Araucaria.sp,-52.2114,-28.0408
Araucaria.sp,-52.5447,-29.4064
Araucaria.sp,-51.2092,-27.0908
Araucaria.sp,-50.3444,-25.3011
Araucaria.sp,-50.4067,-24.4781
Araucaria.sp,-49.2022,-25.9314
Araucaria.sp,-50.2289,-26.2472
Araucaria.sp,-49.6369,-25.2344
Araucaria.sp,-52.8475,-24.5433
Araucaria.sp,-51.3344,-26.2658
Araucaria.sp,-49.68,-28.1692
Araucaria.sp,-49.8822,-27.9028
Araucaria.sp,-50.9364,-27.5728
Araucaria.sp,-50.9411,-28.6703
Araucaria.sp,-50.5803,-26.3814
Araucaria.sp,-50.9408,-27.4494
Araucaria.sp,-50.5367,-29.2342
Araucaria.sp,-50.2172,-24.1747
Araucaria.sp,-51.5189,-27.9081
Araucaria.sp,-52.1256,-28.6531
Araucaria.sp,-44.6025,-22.3356
Araucaria.sp,-45.3575,-22.5439
Araucaria.sp,-49.8019,-23.9036
Araucaria.sp,-52.4703,-26.8197
Araucaria.sp,-55.5333,-27.3167
Araucaria.sp,-54.0999,-26.6301
Araucaria.sp,-53.7667,-26.0333
Araucaria.sp,-53.77,-26.03
Araucaria.sp,-54.13,-26.65
Araucaria.sp,-55.53,-27.32
Araucaria.sp,-49.3973,-28.397
Araucaria.sp,-50.4274,-26.9647
Araucaria.sp,-50.3226,-26.1106
Araucaria.sp,-51.6625,-27.0747
Araucaria.sp,-49.1995,-25.9322
Araucaria.sp,-45.5903,-22.7339
Araucaria.sp,-53.1141,-30.8993
Araucaria.sp,-52.5572,-30.5642
Araucaria.sp,-51.3247,-30.1019
Araucaria.sp,-51.2379,-30.0181
Araucaria.sp,-50.1744,-29.4808
Araucaria.sp,-50.5702,-29.4223
Araucaria.sp,-51.2495,-29.2762
Araucaria.sp,-49.9478,-28.4389
Araucaria.sp,-49.7691,-28.2605
Araucaria.sp,-50.6701,-28.2602
Araucaria.sp,-49.4983,-28.0828
Araucaria.sp,-49.8221,-28.0252
Araucaria.sp,-49.4919,-28.0131
Araucaria.sp,-50.8036,-27.9889
Araucaria.sp,-49.9341,-27.9514
Araucaria.sp,-51.155,-27.9014
Araucaria.sp,-49.7909,-27.9007
Araucaria.sp,-51.2406,-27.8269
Araucaria.sp,-49.4108,-27.6292
Araucaria.sp,-50.8049,-27.4851
Araucaria.sp,-51.5678,-27.3611
Araucaria.sp,-51.3883,-26.9073
Araucaria.sp,-50.964,-26.8612
Araucaria.sp,-51.4006,-26.5461
Araucaria.sp,-48.8375,-26.2986
Araucaria.sp,-49.3044,-26.2556
Araucaria.sp,-49.2369,-25.4428
Araucaria.sp,-49.1149,-25.4019
Araucaria.sp,-49.2602,-25.3643
Araucaria.sp,-53.9658,-25.3311
Araucaria.sp,-49.1678,-25.3228
Araucaria.sp,-49.1586,-25.3158
Araucaria.sp,-51.5726,-25.0699
Araucaria.sp,-51.5645,-25.0436
Araucaria.sp,-52.3099,-24.2061
Araucaria.sp,-50.3084,-24.1431
Araucaria.sp,-52.3608,-24.0486
Araucaria.sp,-52.3599,-24.0169
Araucaria.sp,-46.7725,-23.6631
Araucaria.sp,-46.9188,-23.2301
Araucaria.sp,-45.3197,-22.5819
Araucaria.sp,-45.2664,-22.5267
Araucaria.sp,-59.97,-28.8333
Araucaria.sp,-50.1275,-27.9275
Araucaria.sp,-49.0732,-26.9028
Araucaria.sp,-49.5123,-26.4321
Araucaria.sp,-49.6861,-26.3675
Araucaria.sp,-45.3065,-23.2248
Araucaria.sp,-43.0084,-22.5309
Araucaria.sp,-49.9477,-28.439
Araucaria.sp,-50.8497,-28.035
Araucaria.sp,-49.1631,-25.325
Araucaria.sp,-52.3,-24.1
Araucaria.sp,-52,-25
Araucaria.sp,-51,-27
Araucaria.sp,-54,-29.9971
Araucaria.sp,-53.7738,-26.0315
Araucaria.sp,-49.564,-27.2474
Araucaria.sp,-51,-27
Araucaria.sp,-43.0084,-22.5309
Araucaria.sp,-44.7776,-22.3659
Araucaria.sp,-45.4434,-22.683
Araucaria.sp,-49.9499,-25.0727
Araucaria.sp,-49.2198,-25.4359
Araucaria.sp,-48.3268,-23.9952
Araucaria.sp,-49.0751,-24.992
Araucaria.sp,-52.5776,-26.4648
Araucaria.sp,-52.3342,-25.9108
Araucaria.sp,-51.3993,-25.0367
Araucaria.sp,-51.3879,-26.5116
Araucaria.sp,-50.5608,-25.4807
Araucaria.sp,-49.683,-25.7904
Araucaria.sp,-52.8054,-23.8824
Araucaria.sp,-52.7752,-25.2561
Araucaria.sp,-53.657,-25.1353
Araucaria.sp,-53.7956,-25.1441
Araucaria.sp,-53.6854,-25.0778
Araucaria.sp,-53.8987,-25.4217
Araucaria.sp,-53.6494,-25.3394
Araucaria.sp,-53.3471,-24.8039
Araucaria.sp,-53.3444,-25.0077
Araucaria.sp,-52.9822,-25.0237
Araucaria.sp,-52.2132,-26.5011
Araucaria.sp,-44.7244,-22.1371
Araucaria.sp,-45.3197,-22.5819
Araucaria.sp,-45.3,-22.5833
Araucaria.sp,-46.4375,-22.8708
Araucaria.sp,-45.0767,-22.4653
Araucaria.sp,-45.2422,-22.5538
Araucaria.sp,-45.59,-22.73
Araucaria.sp,-44.7365,-22.1362
Araucaria.sp,-46.0583,-22.8871
Araucaria.sp,-44.7287,-22.1478
Araucaria.sp,-45.3573,-22.5477
Araucaria.sp,-44.781,-22.3634
Araucaria.sp,-50.0975,-29.1917
Araucaria.sp,-49.989,-29.1006
Araucaria.sp,-50.8549,-29.3125
Araucaria.sp,-50.513,-29.4801
Araucaria.sp,-50.5942,-29.3587
Araucaria.sp,-52.1732,-28.3353
Araucaria.sp,-52.0676,-28.1801
Araucaria.sp,-50.0793,-29.0796
Araucaria.sp,-50.424,-28.7272
Araucaria.sp,-52.5572,-30.5642
Araucaria.sp,-51.2495,-29.2762
Araucaria.sp,-50.5756,-29.1206
Araucaria.sp,-50.2859,-27.8332
Araucaria.sp,-49.6635,-28.5829
Araucaria.sp,-49.8653,-28.3326
Araucaria.sp,-51.2824,-28.8525
Araucaria.sp,-50.5262,-27.3375
Araucaria.sp,-52.4433,-26.5392
Araucaria.sp,-51.0235,-26.8113
Araucaria.sp,-51.2199,-27.0821
Araucaria.sp,-51.1467,-27.0814
